LocationID,zone,borough,latitude,longitude
1,Newark Airport,EWR,40.69183016020959,-74.17400156582248
2,Jamaica Bay,Queens,40.61674619937379,-73.83129979354713
3,Allerton/Pelham Gardens,Bronx,40.86447372906584,-73.8474217852696
4,Alphabet City,Manhattan,40.72375208451233,-73.97696827424141
5,Arden Heights,Staten Island,40.55265878064343,-74.18848459794721
6,Arrochar/Fort Wadsworth,Staten Island,40.600324409468406,-74.07177024696533
7,Astoria,Queens,40.761492617043125,-73.91969433569462
8,Astoria Park,Queens,40.77855862576789,-73.92308626324494
9,Auburndale,Queens,40.75103435668664,-73.78794875477833
10,Baisley Park,Queens,40.67895308442328,-73.79098676199028
11,Bath Beach,Brooklyn,40.60427268170344,-74.00748784386448
12,Battery Park,Manhattan,40.70294582144012,-74.01556349991374
13,Battery Park City,Manhattan,40.712037924667264,-74.01607927269924
14,Bay Ridge,Brooklyn,40.62483367229869,-74.0298925099
15,Bay Terrace/Fort Totten,Queens,40.7833330046879,-73.78597285841018
16,Bayside,Queens,40.76273753216493,-73.77342112932584
17,Bedford,Brooklyn,40.69150702161197,-73.94990480444068
18,Bedford Park,Bronx,40.86768222238494,-73.89018381164814
19,Bellerose,Queens,40.73548651046706,-73.72665540152784
20,Belmont,Bronx,40.857779440562844,-73.88586744911127
21,Bensonhurst East,Brooklyn,40.60142907301775,-73.98353783537917
22,Bensonhurst West,Brooklyn,40.61221766982795,-73.99525864587314
23,Bloomfield/Emerson Hill,Staten Island,40.60644824321443,-74.17088508711593
24,Bloomingdale,Manhattan,40.80197051563418,-73.96547935663406
25,Boerum Hill,Brooklyn,40.68563370139058,-73.98611374739605
26,Borough Park,Brooklyn,40.630949253264255,-73.98866057160336
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.559134755628214,-73.90691199328067
28,Briarwood/Jamaica Hills,Queens,40.71159648931973,-73.80872922918115
29,Brighton Beach,Brooklyn,40.580921751571346,-73.96121662082737
30,Broad Channel,Queens,40.60368693988757,-73.82192752206782
31,Bronx Park,Bronx,40.85774566451417,-73.87547602176667
32,Bronxdale,Bronx,40.864002036456434,-73.86490091353166
33,Brooklyn Heights,Brooklyn,40.6957980847225,-73.99525009947318
34,Brooklyn Navy Yard,Brooklyn,40.70085574405344,-73.97118860464191
35,Brownsville,Brooklyn,40.664002936640344,-73.91025776959916
36,Bushwick North,Brooklyn,40.70052207677384,-73.91770956300488
37,Bushwick South,Brooklyn,40.69499398960586,-73.92223688327465
38,Cambria Heights,Queens,40.69434123971375,-73.73555411751046
39,Canarsie,Brooklyn,40.63803689672939,-73.8997346848635
40,Carroll Gardens,Brooklyn,40.67919897887253,-73.99595622535054
41,Central Harlem,Manhattan,40.804333857858566,-73.95129204385638
42,Central Harlem North,Manhattan,40.8182572500734,-73.94077208625764
43,Central Park,Manhattan,40.78247701262984,-73.96555540550199
